timestamp,user_id,action_type,hour_of_day,is_weekend,ip_location_mismatch,geo_velocity_kmh,download_count_last_1h,upload_count_last_1h,bytes_transferred_last_1h,failed_logins_last_1h,failed_logins_last_24h,unique_ips_last_24h,session_duration_min,file_size_bytes,file_type_risk_score,request_rate_per_min,tor_exit_node,vpn_detected,user_agent_anomaly,time_since_last_login_h,label_anomaly,attack_type
1775721003,a2857cae-47ca-46a7-92d3-86bfbe4c7fa2,upload,13,0,0,42.37,1,1,3826955,0,0,1,58.65,495485,0.1,2.24,0,0,0,2.26,0,NORMAL
1775657244,4bd663b8-8a5f-4e1c-8334-90c1d8218999,upload,19,0,0,24.06,0,2,4449633,0,2,1,23.5,1226040565,0.85,1.88,0,0,0,11.35,0,NORMAL
1775652870,30a4ba04-7686-4ca3-8728-e424c23c3b56,login,18,0,0,13.11,0,0,1327091,0,1,2,34.54,0,0.0,2.12,0,0,0,20.65,0,NORMAL
1775733906,437491dc-fbda-4bb4-a455-85a013efd5db,list,16,0,0,23.73,1,0,652314,0,2,1,28.19,0,0.0,2.04,0,0,0,8.76,0,NORMAL
1775705382,6cc380fe-b8b5-4d37-83be-da82290a1592,login,8,0,0,36.49,0,0,3274036,0,1,1,7.86,0,0.0,0.62,0,0,0,9.83,0,NORMAL
1775849830,0dc5c104-1c03-443a-b939-efac0a2afbc8,download,1,1,0,27.14,5,0,52705,0,0,1,59.67,717183767,0.85,1.62,0,0,0,22.61,0,NORMAL
1775798646,68600d46-636f-422a-8c25-65fc67a64dc9,list,10,0,0,47.2,0,0,3583179,0,1,2,11.63,0,0.0,2.58,0,0,0,19.9,0,NORMAL
1775914333,74d17b23-fe0c-4ab1-af92-756dd75532f2,list,19,1,0,39.14,1,0,1850140,0,1,1,50.72,0,0.0,2.58,0,0,0,10.34,0,NORMAL
1775726251,8d5b6fa4-56c1-4c95-95f1-2b809f9a93f8,download,14,0,0,31.54,4,0,752348,0,0,2,49.94,298681108,0.9,1.4,0,0,0,1.09,0,NORMAL
1775676666,5e0f7d66-768e-4762-84c7-e5892ab6f964,login,1,0,0,16.89,2,0,3067197,0,2,1,45.86,0,0.0,2.37,0,0,0,10.86,0,NORMAL
